count,lat_bin,lon_bin,lat_center,lon_center
3114,4192,-8767,41.92,-87.67
3110,4180,-8768,41.800000000000004,-87.68
3096,4180,-8769,41.800000000000004,-87.69
3088,4179,-8772,41.79,-87.72
3049,4195,-8767,41.95,-87.67
3036,4178,-8772,41.78,-87.72
3035,4195,-8777,41.95,-87.77
3011,4198,-8790,41.980000000000004,-87.9
3008,4189,-8768,41.89,-87.68
3000,4172,-8757,41.72,-87.57000000000001
2995,4173,-8765,41.730000000000004,-87.65
2984,4169,-8765,41.69,-87.65
2977,4192,-8778,41.92,-87.78
2976,4173,-8757,41.730000000000004,-87.57000000000001
2975,4180,-8763,41.800000000000004,-87.63
2952,4186,-8764,41.86,-87.64
2944,4166,-8761,41.660000000000004,-87.61
2937,4170,-8764,41.7,-87.64
2918,4167,-8763,41.67,-87.63
2890,4198,-8771,41.980000000000004,-87.71000000000001
2885,4172,-8765,41.72,-87.65
2884,4196,-8768,41.96,-87.68
2874,4177,-8770,41.77,-87.7
2842,4174,-8757,41.74,-87.57000000000001
2831,4197,-8768,41.97,-87.68
2758,4181,-8768,41.81,-87.68
2735,4183,-8768,41.83,-87.68
2731,4185,-8767,41.85,-87.67
2731,4196,-8767,41.96,-87.67
2714,4184,-8764,41.84,-87.64
2706,4197,-8770,41.97,-87.7
2699,4197,-8776,41.97,-87.76
2690,4194,-8774,41.94,-87.74
2681,4198,-8770,41.980000000000004,-87.7
2679,4195,-8774,41.95,-87.74
2670,4186,-8769,41.86,-87.69
2661,4189,-8770,41.89,-87.7
2656,4189,-8773,41.89,-87.73
2648,4178,-8773,41.78,-87.73
2646,4181,-8759,41.81,-87.59
2630,4199,-8771,41.99,-87.71000000000001
2620,4180,-8774,41.800000000000004,-87.74
2618,4195,-8772,41.95,-87.72
2612,4181,-8772,41.81,-87.72
2605,4172,-8758,41.72,-87.58
2605,4168,-8765,41.68,-87.65
2602,4179,-8768,41.79,-87.68
2598,4196,-8775,41.96,-87.75
2597,4169,-8767,41.69,-87.67
2581,4181,-8763,41.81,-87.63
2581,4173,-8763,41.730000000000004,-87.63
2576,4193,-8778,41.93,-87.78
2569,4195,-8770,41.95,-87.7
2562,4179,-8764,41.79,-87.64
2541,4193,-8773,41.93,-87.73
2539,4179,-8773,41.79,-87.73
2520,4175,-8771,41.75,-87.71000000000001
2517,4183,-8765,41.83,-87.65
2516,4177,-8772,41.77,-87.72
2506,4192,-8779,41.92,-87.79
2505,4184,-8770,41.84,-87.7
2502,4170,-8756,41.7,-87.56
2492,4195,-8776,41.95,-87.76
2481,4197,-8777,41.97,-87.77
2452,4187,-8777,41.87,-87.77
2447,4175,-8768,41.75,-87.68
2429,4194,-8768,41.94,-87.68
2427,4170,-8754,41.7,-87.54
2398,4173,-8762,41.730000000000004,-87.62
2367,4175,-8770,41.75,-87.7
2364,4190,-8765,41.9,-87.65
2364,4170,-8760,41.7,-87.60000000000001
2341,4196,-8776,41.96,-87.76
2327,4173,-8758,41.730000000000004,-87.58
2319,4194,-8779,41.94,-87.79
2317,4199,-8768,41.99,-87.68
2293,4194,-8778,41.94,-87.78
2286,4180,-8773,41.800000000000004,-87.73
2274,4185,-8764,41.85,-87.64
2272,4166,-8764,41.660000000000004,-87.64
2271,4191,-8766,41.910000000000004,-87.66
2271,4195,-8778,41.95,-87.78
2264,4198,-8784,41.980000000000004,-87.84
2263,4197,-8774,41.97,-87.74
2241,4182,-8767,41.82,-87.67
2215,4192,-8766,41.92,-87.66
2212,4178,-8777,41.78,-87.77
2206,4196,-8769,41.96,-87.69
2191,4181,-8771,41.81,-87.71000000000001
2186,4196,-8777,41.96,-87.77
2162,4180,-8758,41.800000000000004,-87.58
2145,4191,-8778,41.910000000000004,-87.78
2145,4179,-8761,41.79,-87.61
2144,4195,-8768,41.95,-87.68
2131,4193,-8780,41.93,-87.8
2127,4175,-8772,41.75,-87.72
2116,4183,-8764,41.83,-87.64
2103,4184,-8766,41.84,-87.66
2098,4172,-8760,41.72,-87.60000000000001
2091,4181,-8764,41.81,-87.64
2078,4189,-8774,41.89,-87.74
2075,4195,-8769,41.95,-87.69
2058,4174,-8772,41.74,-87.72
2029,4194,-8770,41.94,-87.7
2028,4196,-8770,41.96,-87.7
2026,4198,-8777,41.980000000000004,-87.77
1989,4202,-8769,42.02,-87.69
1983,4181,-8773,41.81,-87.73
1956,4170,-8765,41.7,-87.65
1954,4171,-8754,41.71,-87.54
1950,4181,-8774,41.81,-87.74
1949,4194,-8769,41.94,-87.69
1943,4171,-8760,41.71,-87.60000000000001
1942,4170,-8753,41.7,-87.53
1937,4179,-8759,41.79,-87.59
1923,4172,-8754,41.72,-87.54
1913,4171,-8756,41.71,-87.56
1898,4176,-8770,41.76,-87.7
1852,4190,-8774,41.9,-87.74
1839,4194,-8781,41.94,-87.81
1826,4171,-8757,41.71,-87.57000000000001
1819,4187,-8765,41.87,-87.65
1804,4189,-8761,41.89,-87.61
1803,4176,-8755,41.76,-87.55
1794,4178,-8774,41.78,-87.74
1791,4197,-8778,41.97,-87.78
1764,4192,-8780,41.92,-87.8
1762,4196,-8778,41.96,-87.78
1744,4189,-8769,41.89,-87.69
1743,4195,-8764,41.95,-87.64
1734,4201,-8770,42.01,-87.7
1725,4181,-8775,41.81,-87.75
1725,4174,-8770,41.74,-87.7
1687,4197,-8775,41.97,-87.75
1687,4180,-8771,41.800000000000004,-87.71000000000001
1686,4182,-8764,41.82,-87.64
1676,4186,-8768,41.86,-87.68
1675,4175,-8769,41.75,-87.69
1656,4195,-8781,41.95,-87.81
1652,4165,-8761,41.65,-87.61
1641,4179,-8758,41.79,-87.58
1639,4195,-8780,41.95,-87.8
1628,4172,-8761,41.72,-87.61
1615,4171,-8766,41.71,-87.66
1601,4169,-8768,41.69,-87.68
1601,4183,-8769,41.83,-87.69
1592,4198,-8765,41.980000000000004,-87.65
1537,4198,-8768,41.980000000000004,-87.68
1514,4184,-8761,41.84,-87.61
1510,4178,-8778,41.78,-87.78
1502,4176,-8771,41.76,-87.71000000000001
1500,4165,-8760,41.65,-87.60000000000001
1473,4173,-8767,41.730000000000004,-87.67
1460,4179,-8777,41.79,-87.77
1457,4175,-8773,41.75,-87.73
1456,4172,-8756,41.72,-87.56
1447,4177,-8773,41.77,-87.73
1439,4178,-8776,41.78,-87.76
1437,4180,-8775,41.800000000000004,-87.75
1429,4170,-8766,41.7,-87.66
1426,4198,-8779,41.980000000000004,-87.79
1425,4185,-8765,41.85,-87.65
1414,4198,-8781,41.980000000000004,-87.81
1407,4172,-8755,41.72,-87.55
1392,4194,-8780,41.94,-87.8
1386,4199,-8778,41.99,-87.78
1385,4168,-8767,41.68,-87.67
1371,4174,-8771,41.74,-87.71000000000001
1346,4180,-8776,41.800000000000004,-87.76
1345,4181,-8765,41.81,-87.65
1340,4177,-8771,41.77,-87.71000000000001
1332,4200,-8771,42.0,-87.71000000000001
1325,4179,-8760,41.79,-87.60000000000001
1319,4176,-8772,41.76,-87.72
1319,4165,-8754,41.65,-87.54
1318,4165,-8755,41.65,-87.55
1305,4179,-8778,41.79,-87.78
1297,4196,-8774,41.96,-87.74
1293,4195,-8779,41.95,-87.79
1268,4185,-8766,41.85,-87.66
1259,4169,-8754,41.69,-87.54
1257,4174,-8769,41.74,-87.69
1254,4184,-8767,41.84,-87.67
1236,4171,-8768,41.71,-87.68
1227,4174,-8773,41.74,-87.73
1177,4169,-8770,41.69,-87.7
1169,4191,-8779,41.910000000000004,-87.79
1160,4169,-8760,41.69,-87.60000000000001
1142,4171,-8767,41.71,-87.67
1134,4198,-8776,41.980000000000004,-87.76
1131,4172,-8768,41.72,-87.68
1128,4165,-8762,41.65,-87.62
1111,4172,-8759,41.72,-87.59
1094,4174,-8754,41.74,-87.54
1086,4180,-8764,41.800000000000004,-87.64
1079,4194,-8782,41.94,-87.82000000000001
1067,4168,-8768,41.68,-87.68
1046,4172,-8767,41.72,-87.67
1037,4199,-8779,41.99,-87.79
1021,4166,-8755,41.660000000000004,-87.55
1020,4198,-8778,41.980000000000004,-87.78
1013,4179,-8779,41.79,-87.79
1012,4166,-8763,41.660000000000004,-87.63
1010,4170,-8767,41.7,-87.67
999,4178,-8779,41.78,-87.79
998,4200,-8781,42.0,-87.81
990,4166,-8762,41.660000000000004,-87.62
976,4170,-8768,41.7,-87.68
972,4179,-8775,41.79,-87.75
965,4174,-8774,41.74,-87.74
926,4197,-8789,41.97,-87.89
924,4195,-8783,41.95,-87.83
916,4199,-8781,41.99,-87.81
914,4198,-8780,41.980000000000004,-87.8
909,4199,-8773,41.99,-87.73
891,4199,-8772,41.99,-87.72
885,4179,-8780,41.79,-87.8
879,4198,-8788,41.980000000000004,-87.88
874,4167,-8765,41.67,-87.65
870,4199,-8788,41.99,-87.88
851,4182,-8768,41.82,-87.68
832,4184,-8769,41.84,-87.69
811,4198,-8775,41.980000000000004,-87.75
803,4183,-8770,41.83,-87.7
795,4194,-8783,41.94,-87.83
794,4171,-8753,41.71,-87.53
790,4202,-8766,42.02,-87.66
777,4200,-8782,42.0,-87.82000000000001
761,4170,-8770,41.7,-87.7
757,4198,-8773,41.980000000000004,-87.73
749,4169,-8771,41.69,-87.71000000000001
744,4177,-8774,41.77,-87.74
743,4192,-8763,41.92,-87.63
720,4200,-8779,42.0,-87.79
702,4171,-8758,41.71,-87.58
694,4182,-8771,41.82,-87.71000000000001
692,4195,-8782,41.95,-87.82000000000001
690,4191,-8780,41.910000000000004,-87.8
690,4199,-8780,41.99,-87.8
682,4197,-8784,41.97,-87.84
678,4172,-8753,41.72,-87.53
677,4198,-8785,41.980000000000004,-87.85000000000001
673,4182,-8772,41.82,-87.72
666,4199,-8775,41.99,-87.75
661,4169,-8753,41.69,-87.53
657,4199,-8774,41.99,-87.74
651,4198,-8782,41.980000000000004,-87.82000000000001
646,4178,-8775,41.78,-87.75
626,4186,-8774,41.86,-87.74
621,4183,-8766,41.83,-87.66
610,4170,-8757,41.7,-87.57000000000001
607,4183,-8772,41.83,-87.72
602,4193,-8781,41.93,-87.81
598,4167,-8766,41.67,-87.66
596,4173,-8754,41.730000000000004,-87.54
590,4180,-8777,41.800000000000004,-87.77
587,4180,-8778,41.800000000000004,-87.78
585,4165,-8753,41.65,-87.53
577,4201,-8771,42.01,-87.71000000000001
575,4179,-8776,41.79,-87.76
554,4171,-8755,41.71,-87.55
550,4196,-8779,41.96,-87.79
540,4198,-8772,41.980000000000004,-87.72
539,4174,-8768,41.74,-87.68
524,4170,-8771,41.7,-87.71000000000001
524,4197,-8779,41.97,-87.79
523,4201,-8781,42.01,-87.81
521,4199,-8777,41.99,-87.77
513,4193,-8763,41.93,-87.63
510,4197,-8780,41.97,-87.8
500,4169,-8769,41.69,-87.69
500,4200,-8776,42.0,-87.76
487,4180,-8779,41.800000000000004,-87.79
472,4186,-8761,41.86,-87.61
460,4168,-8754,41.68,-87.54
454,4202,-8770,42.02,-87.7
444,4197,-8781,41.97,-87.81
442,4168,-8772,41.68,-87.72
435,4177,-8756,41.77,-87.56
433,4192,-8781,41.92,-87.81
432,4182,-8765,41.82,-87.65
428,4190,-8778,41.9,-87.78
428,4173,-8768,41.730000000000004,-87.68
418,4171,-8769,41.71,-87.69
